Country,Code,Category,Year,GDP per capita (2015 US$),GNI per capita (2015 US$),"Services, value added per worker (2015 US$)","Industry, value added per worker (2015 US$)",Consumption expenditure per capita (2015 US$),Government expenditure on education (% of GDP),Literacy rate (% of population 15+),"Educational attainment, upper secondary (% of population 25+)","Educational attainment, Bachelor's (% of population 25+)","Educational attainment, Doctoral (% of population 25+)","CO2 emissions per $ of GDP (kg, 2015 US$)",CO2 emissions per capita (tons),Greenhouse gas emissions per capita (tons of CO2 equiv.),GDP per kg of oil equiv. of energy use (2017 PPP $),Renewable energy consumption (% of energy consumption)
Afghanistan,AFG,economy,2001,,,,,,,,,,,,,,,
Afghanistan,AFG,economy,2002,360.0,,2156.0,3192.0,,,,,,,,,,,
Afghanistan,AFG,economy,2003,363.0,,2245.0,3217.0,,,,,,,,,,,
Afghanistan,AFG,economy,2004,354.0,,2388.0,3499.0,,,,,,,,,,,
Afghanistan,AFG,economy,2005,380.0,,2366.0,3535.0,,,,,,,,,,,
Afghanistan,AFG,economy,2006,384.0,,2423.0,3760.0,,,,,,,,,,,
Afghanistan,AFG,economy,2007,429.0,,2765.0,3831.0,,,,,,,,,,,
Afghanistan,AFG,economy,2008,437.0,,3057.0,3890.0,,,,,,,,,,,
Afghanistan,AFG,economy,2009,512.0,,3398.0,3719.0,,,,,,,,,,,
Afghanistan,AFG,economy,2010,569.0,,3756.0,3582.0,,,,,,,,,,,
Afghanistan,AFG,economy,2011,551.0,,3840.0,3749.0,,,,,,,,,,,
Afghanistan,AFG,economy,2012,596.0,,4016.0,3556.0,,,,,,,,,,,
Afghanistan,AFG,economy,2013,608.0,,3990.0,3428.0,,,,,,,,,,,
Afghanistan,AFG,economy,2014,603.0,,3850.0,3257.0,,,,,,,,,,,
Afghanistan,AFG,economy,2015,592.0,598.0,3645.0,3155.0,,,,,,,,,,,
Afghanistan,AFG,economy,2016,590.0,,3455.0,2974.0,,,,,,,,,,,
Afghanistan,AFG,economy,2017,589.0,,3198.0,2996.0,,,,,,,,,,,
Afghanistan,AFG,economy,2018,579.0,,3104.0,3129.0,,,,,,,,,,,
Afghanistan,AFG,economy,2019,584.0,,2907.0,3146.0,,,,,,,,,,,
Afghanistan,AFG,economy,2020,553.0,,,,,,,,,,,,,,
Afghanistan,AFG,economy,2021,426.0,,,,,,,,,,,,,,
Afghanistan,AFG,economy,2022,,,,,,,,,,,,,,,
Afghanistan,AFG,education,1960,,,,,,,,,,,,,,,
Afghanistan,AFG,education,1961,,,,,,,,,,,,,,,
Afghanistan,AFG,education,1962,,,,,,,,,,,,,,,
Afghanistan,AFG,education,1963,,,,,,,,,,,,,,,
Afghanistan,AFG,education,1964,,,,,,,,,,,,,,,
Afghanistan,AFG,education,1965,,,,,,,,,,,,,,,
Afghanistan,AFG,education,1966,,,,,,,,,,,,,,,
Afghanistan,AFG,education,1967,,,,,,,,,,,,,,,
Afghanistan,AFG,education,1968,,,,,,,,,,,,,,,
Afghanistan,AFG,education,1969,,,,,,,,,,,,,,,
Afghanistan,AFG,education,1970,,,,,,,,,,,,,,,
Afghanistan,AFG,education,1971,,,,,,1.16,,,,,,,,,
Afghanistan,AFG,education,1972,,,,,,1.12,,,,,,,,,
Afghanistan,AFG,education,1973,,,,,,1.43,,,,,,,,,
Afghanistan,AFG,education,1974,,,,,,,,,,,,,,,
Afghanistan,AFG,education,1975,,,,,,1.3,,3.0,,,,,,,
Afghanistan,AFG,education,1976,,,,,,,,,,,,,,,
Afghanistan,AFG,education,1977,,,,,,,,,,,,,,,
Afghanistan,AFG,education,1978,,,,,,,,,,,,,,,
Afghanistan,AFG,education,1979,,,,,,1.74,18.16,,,,,,,,
Afghanistan,AFG,education,1980,,,,,,1.84,,,,,,,,,
Afghanistan,AFG,education,1981,,,,,,1.91,,,,,,,,,
Afghanistan,AFG,education,1982,,,,,,1.73,,,,,,,,,
Afghanistan,AFG,education,1983,,,,,,,,,,,,,,,
Afghanistan,AFG,education,1984,,,,,,,,,,,,,,,
Afghanistan,AFG,education,1985,,,,,,,,,,,,,,,
Afghanistan,AFG,education,1986,,,,,,,,,,,,,,,
Afghanistan,AFG,education,1987,,,,,,,,,,,,,,,
Afghanistan,AFG,education,1988,,,,,,,,,,,,,,,
Afghanistan,AFG,education,1989,,,,,,,,,,,,,,,
Afghanistan,AFG,education,1990,,,,,,,,,,,,,,,
Afghanistan,AFG,education,1991,,,,,,,,,,,,,,,
Afghanistan,AFG,education,1992,,,,,,,,,,,,,,,
Afghanistan,AFG,education,1993,,,,,,,,,,,,,,,
Afghanistan,AFG,education,1994,,,,,,,,,,,,,,,
Afghanistan,AFG,education,1995,,,,,,,,,,,,,,,
Afghanistan,AFG,education,1996,,,,,,,,,,,,,,,
Afghanistan,AFG,education,1997,,,,,,,,,,,,,,,
Afghanistan,AFG,education,1998,,,,,,,,,,,,,,,
Afghanistan,AFG,education,1999,,,,,,,,,,,,,,,
Afghanistan,AFG,education,2000,,,,,,,,,,,,,,,
Afghanistan,AFG,education,2001,,,,,,,,,,,,,,,
Afghanistan,AFG,education,2002,,,,,,,,,,,,,,,
Afghanistan,AFG,education,2003,,,,,,,,,,,,,,,
Afghanistan,AFG,education,2004,,,,,,,,,,,,,,,
Afghanistan,AFG,education,2005,,,,,,,,,,,,,,,
Afghanistan,AFG,education,2006,,,,,,4.68,,,,,,,,,
Afghanistan,AFG,education,2007,,,,,,4.17,,,,,,,,,
Afghanistan,AFG,education,2008,,,,,,4.38,,,,,,,,,
Afghanistan,AFG,education,2009,,,,,,4.81,,,,,,,,,
Afghanistan,AFG,education,2010,,,,,,3.48,,,,,,,,,
Afghanistan,AFG,education,2011,,,,,,3.46,31.45,,,,,,,,
Afghanistan,AFG,education,2012,,,,,,2.6,,,,,,,,,
Afghanistan,AFG,education,2013,,,,,,3.45,,,,,,,,,
Afghanistan,AFG,education,2014,,,,,,3.7,,,,,,,,,
Afghanistan,AFG,education,2015,,,,,,3.26,,9.79,,,,,,,
Afghanistan,AFG,education,2016,,,,,,4.54,,,,,,,,,
Afghanistan,AFG,education,2017,,,,,,4.34,,,,,,,,,
Afghanistan,AFG,education,2018,,,,,,,,,,,,,,,
Afghanistan,AFG,education,2019,,,,,,,,,,,,,,,
Afghanistan,AFG,education,2020,,,,,,,,,,,,,,,
Afghanistan,AFG,education,2021,,,,,,,37.27,9.46,3.07,,,,,,
Afghanistan,AFG,education,2022,,,,,,,,12.6,3.98,,,,,,
Afghanistan,AFG,environment,1960,,,,,,,,,,,,,,,
Afghanistan,AFG,environment,1961,,,,,,,,,,,,,,,
Afghanistan,AFG,environment,1962,,,,,,,,,,,,,,,
Afghanistan,AFG,environment,1963,,,,,,,,,,,,,,,
Afghanistan,AFG,environment,1964,,,,,,,,,,,,,,,
Afghanistan,AFG,environment,1965,,,,,,,,,,,,,,,
Afghanistan,AFG,environment,1966,,,,,,,,,,,,,,,
Afghanistan,AFG,environment,1967,,,,,,,,,,,,,,,
Afghanistan,AFG,environment,1968,,,,,,,,,,,,,,,
Afghanistan,AFG,environment,1969,,,,,,,,,,,,,,,
Afghanistan,AFG,environment,1970,,,,,,,,,,,,,,,
Afghanistan,AFG,environment,1971,,,,,,,,,,,,,,,
Afghanistan,AFG,environment,1972,,,,,,,,,,,,,,,
Afghanistan,AFG,environment,1973,,,,,,,,,,,,,,,
Afghanistan,AFG,environment,1974,,,,,,,,,,,,,,,
Afghanistan,AFG,environment,1975,,,,,,,,,,,,,,,
Afghanistan,AFG,environment,1976,,,,,,,,,,,,,,,
Afghanistan,AFG,environment,1977,,,,,,,,,,,,,,,
Afghanistan,AFG,environment,1978,,,,,,,,,,,,,,,
Afghanistan,AFG,environment,1979,,,,,,,,,,,,,,,
Afghanistan,AFG,environment,1980,,,,,,,,,,,,,,,
Afghanistan,AFG,environment,1981,,,,,,,,,,,,,,,
Afghanistan,AFG,environment,1982,,,,,,,,,,,,,,,
Afghanistan,AFG,environment,1983,,,,,,,,,,,,,,,
Afghanistan,AFG,environment,1984,,,,,,,,,,,,,,,
Afghanistan,AFG,environment,1985,,,,,,,,,,,,,,,
Afghanistan,AFG,environment,1986,,,,,,,,,,,,,,,
Afghanistan,AFG,environment,1987,,,,,,,,,,,,,,,
Afghanistan,AFG,environment,1988,,,,,,,,,,,,,,,
Afghanistan,AFG,environment,1989,,,,,,,,,,,,,,,
Afghanistan,AFG,environment,1990,,,,,,,,,,,,0.19,1.09,,23.0
Afghanistan,AFG,environment,1991,,,,,,,,,,,,0.18,1.11,,23.69
Afghanistan,AFG,environment,1992,,,,,,,,,,,,0.13,0.96,,27.38
Afghanistan,AFG,environment,1993,,,,,,,,,,,,0.11,0.83,,28.5
Afghanistan,AFG,environment,1994,,,,,,,,,,,,0.1,0.76,,30.14
Afghanistan,AFG,environment,1995,,,,,,,,,,,,0.09,0.74,,31.8
Afghanistan,AFG,environment,1996,,,,,,,,,,,,0.08,0.77,,33.89
Afghanistan,AFG,environment,1997,,,,,,,,,,,,0.08,0.8,,36.42
Afghanistan,AFG,environment,1998,,,,,,,,,,,,0.07,0.81,,38.02
Afghanistan,AFG,environment,1999,,,,,,,,,,,,0.06,0.83,,43.44
Afghanistan,AFG,environment,2000,,,,,,,,,,,,0.06,0.73,,44.99
Afghanistan,AFG,environment,2001,,,,,,,,,,,,0.06,0.64,,45.6
Afghanistan,AFG,environment,2002,,,,,,,,,,,0.19,0.07,0.73,,37.83
Afghanistan,AFG,environment,2003,,,,,,,,,,,0.2,0.07,0.7,,36.66
Afghanistan,AFG,environment,2004,,,,,,,,,,,0.15,0.05,0.66,,44.24
Afghanistan,AFG,environment,2005,,,,,,,,,,,0.21,0.08,0.68,,33.88
Afghanistan,AFG,environment,2006,,,,,,,,,,,0.23,0.09,0.68,,31.89
Afghanistan,AFG,environment,2007,,,,,,,,,,,0.26,0.11,0.7,,28.78
Afghanistan,AFG,environment,2008,,,,,,,,,,,0.38,0.17,0.81,,21.17
Afghanistan,AFG,environment,2009,,,,,,,,,,,0.47,0.24,0.89,,16.53
Afghanistan,AFG,environment,2010,,,,,,,,,,,0.53,0.3,1.01,,15.15
Afghanistan,AFG,environment,2011,,,,,,,,,,,0.74,0.41,1.11,,12.61
Afghanistan,AFG,environment,2012,,,,,,,,,,,0.56,0.34,1.02,,15.36
Afghanistan,AFG,environment,2013,,,,,,,,,,,0.49,0.3,0.96,,16.86
Afghanistan,AFG,environment,2014,,,,,,,,,,,0.47,0.28,0.95,,18.93
Afghanistan,AFG,environment,2015,,,,,,,,,,,0.5,0.3,0.94,,17.53
Afghanistan,AFG,environment,2016,,,,,,,,,,,0.45,0.27,0.89,,19.92
Afghanistan,AFG,environment,2017,,,,,,,,,,,0.48,0.28,0.89,,19.21
Afghanistan,AFG,environment,2018,,,,,,,,,,,0.52,0.3,0.89,,17.96
Afghanistan,AFG,environment,2019,,,,,,,,,,,0.51,0.3,0.87,,18.51
Afghanistan,AFG,environment,2020,,,,,,,,,,,0.4,0.22,0.8,,17.58
Afghanistan,AFG,environment,2021,,,,,,,,,,,,,,,17.86
Afghanistan,AFG,environment,2022,,,,,,,,,,,,,,,
Albania,ALB,economy,1960,,,,,,,,,,,,,,,
Albania,ALB,economy,1961,,,,,,,,,,,,,,,
Albania,ALB,economy,1962,,,,,,,,,,,,,,,
Albania,ALB,economy,1963,,,,,,,,,,,,,,,
Albania,ALB,economy,1964,,,,,,,,,,,,,,,
Albania,ALB,economy,1965,,,,,,,,,,,,,,,
Albania,ALB,economy,1966,,,,,,,,,,,,,,,
Albania,ALB,economy,1967,,,,,,,,,,,,,,,
Albania,ALB,economy,1968,,,,,,,,,,,,,,,
Albania,ALB,economy,1969,,,,,,,,,,,,,,,
Albania,ALB,economy,1970,,,,,,,,,,,,,,,
Albania,ALB,economy,1971,,,,,,,,,,,,,,,
Albania,ALB,economy,1972,,,,,,,,,,,,,,,
Albania,ALB,economy,1973,,,,,,,,,,,,,,,
Albania,ALB,economy,1974,,,,,,,,,,,,,,,
Albania,ALB,economy,1975,,,,,,,,,,,,,,,
Albania,ALB,economy,1976,,,,,,,,,,,,,,,
Albania,ALB,economy,1977,,,,,,,,,,,,,,,
Albania,ALB,economy,1978,,,,,,,,,,,,,,,
Albania,ALB,economy,1979,,,,,,,,,,,,,,,
Albania,ALB,economy,1980,1741.0,,,,,,,,,,,,,,
Albania,ALB,economy,1981,1804.0,,,,,,,,,,,,,,
Albania,ALB,economy,1982,1818.0,,,,,,,,,,,,,,
Albania,ALB,economy,1983,1800.0,,,,,,,,,,,,,,
Albania,ALB,economy,1984,1740.0,,,,,,,,,,,,,,
Albania,ALB,economy,1985,1735.0,,,,,,,,,,,,,,
Albania,ALB,economy,1986,1798.0,,,,,,,,,,,,,,
Albania,ALB,economy,1987,1749.0,,,,,,,,,,,,,,
Albania,ALB,economy,1988,1692.0,,,,,,,,,,,,,,
Albania,ALB,economy,1989,1809.0,,,,,,,,,,,,,,
Albania,ALB,economy,1990,1606.0,,,,,,,,,,,,,,
Albania,ALB,economy,1991,1163.0,,,,,,,,,,,,,,
Albania,ALB,economy,1992,1086.0,,,,,,,,,,,,,,
Albania,ALB,economy,1993,1198.0,,,,,,,,,,,,,,
Albania,ALB,economy,1994,1305.0,,,,,,,,,,,,,,
Albania,ALB,economy,1995,1488.0,,,,,,,,,,,,,,
Albania,ALB,economy,1996,1634.0,,2981.0,7995.0,2064.0,,,,,,,,,,
Albania,ALB,economy,1997,1464.0,1497.0,2594.0,6510.0,1714.0,,,,,,,,,,
Albania,ALB,economy,1998,1604.0,1648.0,7064.0,7212.0,1626.0,,,,,,,,,,
Albania,ALB,economy,1999,1822.0,1863.0,7884.0,8288.0,1679.0,,,,,,,,,,
Albania,ALB,economy,2000,1961.0,2019.0,7629.0,9085.0,1763.0,,,,,,,,,,
Albania,ALB,economy,2001,2144.0,2212.0,8155.0,10020.0,1862.0,,,,,,,,,,
Albania,ALB,economy,2002,2247.0,2304.0,8370.0,9823.0,1997.0,,,,,,,,,,
Albania,ALB,economy,2003,2381.0,2444.0,8364.0,11373.0,2185.0,,,,,,,,,,
Albania,ALB,economy,2004,2522.0,2582.0,8702.0,11927.0,2277.0,,,,,,,,,,
Albania,ALB,economy,2005,2676.0,2729.0,9195.0,12223.0,2412.0,,,,,,,,,,
Albania,ALB,economy,2006,2851.0,2934.0,9599.0,12736.0,2567.0,,,,,,,,,,
Albania,ALB,economy,2007,3045.0,3129.0,10284.0,12516.0,2887.0,,,,,,,,,,
Albania,ALB,economy,2008,3298.0,3316.0,10526.0,12436.0,3185.0,,,,,,,,,,
Albania,ALB,economy,2009,3432.0,3379.0,11724.0,11495.0,3240.0,,,,,,,,,,
Albania,ALB,economy,2010,3577.0,3543.0,11658.0,11718.0,3320.0,,,,,,,,,,
Albania,ALB,economy,2011,3678.0,3680.0,11129.0,11605.0,3383.0,,,,,,,,,,
Albania,ALB,economy,2012,3736.0,3710.0,11654.0,12400.0,3393.0,,,,,,,,,,
Albania,ALB,economy,2013,3781.0,3845.0,12111.0,14282.0,3466.0,,,,,,,,,,
Albania,ALB,economy,2014,3856.0,3892.0,12577.0,13359.0,3586.0,,,,,,,,,,
Albania,ALB,economy,2015,3953.0,4000.0,12197.0,12303.0,3629.0,,,,,,,,,,
Albania,ALB,economy,2016,4090.0,4156.0,12043.0,11592.0,3723.0,,,,,,,,,,
Albania,ALB,economy,2017,4250.0,4261.0,11785.0,11416.0,3821.0,,,,,,,,,,
Albania,ALB,economy,2018,4432.0,4428.0,11346.0,11651.0,3942.0,,,,,,,,,,
Albania,ALB,economy,2019,4543.0,4488.0,11844.0,11252.0,4087.0,,,,,,,,,,
Albania,ALB,economy,2020,4419.0,4350.0,,,3996.0,,,,,,,,,,
Albania,ALB,economy,2021,4857.0,4793.0,,,4237.0,,,,,,,,,,
Albania,ALB,economy,2022,5159.0,,,,4522.0,,,,,,,,,,
Albania,ALB,education,1960,,,,,,,,,,,,,,,
Albania,ALB,education,1961,,,,,,,,,,,,,,,
Albania,ALB,education,1962,,,,,,,,,,,,,,,
Albania,ALB,education,1963,,,,,,,,,,,,,,,
Albania,ALB,education,1964,,,,,,,,,,,,,,,
Albania,ALB,education,1965,,,,,,,,,,,,,,,
Albania,ALB,education,1966,,,,,,,,,,,,,,,
Albania,ALB,education,1967,,,,,,,,,,,,,,,
Albania,ALB,education,1968,,,,,,,,,,,,,,,
Albania,ALB,education,1969,,,,,,,,,,,,,,,
Albania,ALB,education,1970,,,,,,,,,,,,,,,
Albania,ALB,education,1971,,,,,,,,,,,,,,,
Albania,ALB,education,1972,,,,,,,,,,,,,,,
Albania,ALB,education,1973,,,,,,,,,,,,,,,
Albania,ALB,education,1974,,,,,,,,,,,,,,,
Albania,ALB,education,1975,,,,,,,,,,,,,,,
Albania,ALB,education,1976,,,,,,,,,,,,,,,
Albania,ALB,education,1977,,,,,,,,,,,,,,,
Albania,ALB,education,1978,,,,,,,,,,,,,,,
Albania,ALB,education,1979,,,,,,,,,,,,,,,
Albania,ALB,education,1980,,,,,,,,,,,,,,,
Albania,ALB,education,1981,,,,,,,,,,,,,,,
Albania,ALB,education,1982,,,,,,,,,,,,,,,
Albania,ALB,education,1983,,,,,,,,,,,,,,,
Albania,ALB,education,1984,,,,,,,,,,,,,,,
Albania,ALB,education,1985,,,,,,,,,,,,,,,
Albania,ALB,education,1986,,,,,,,,,,,,,,,
Albania,ALB,education,1987,,,,,,,,,,,,,,,
Albania,ALB,education,1988,,,,,,,,,,,,,,,
Albania,ALB,education,1989,,,,,,,,,,,,,,,
Albania,ALB,education,1990,,,,,,,,,,,,,,,
Albania,ALB,education,1991,,,,,,,,,,,,,,,
Albania,ALB,education,1992,,,,,,,,,,,,,,,
Albania,ALB,education,1993,,,,,,,,,,,,,,,
Albania,ALB,education,1994,,,,,,3.45,,,,,,,,,
Albania,ALB,education,1995,,,,,,3.81,,,,,,,,,
Albania,ALB,education,1996,,,,,,3.08,,,,,,,,,
Albania,ALB,education,1997,,,,,,3.38,,,,,,,,,
Albania,ALB,education,1998,,,,,,3.54,,,,,,,,,
Albania,ALB,education,1999,,,,,,3.59,,,,,,,,,
Albania,ALB,education,2000,,,,,,3.43,,,,,,,,,
Albania,ALB,education,2001,,,,,,3.46,98.71,37.04,7.43,,,,,,
Albania,ALB,education,2002,,,,,,3.12,,,,,,,,,
Albania,ALB,education,2003,,,,,,3.14,,,,,,,,,
Albania,ALB,education,2004,,,,,,3.23,,,,,,,,,
Albania,ALB,education,2005,,,,,,3.28,,,,,,,,,
Albania,ALB,education,2006,,,,,,3.19,,,,,,,,,
Albania,ALB,education,2007,,,,,,3.28,,,,,,,,,
Albania,ALB,education,2008,,,,,,3.51,95.94,39.89,9.82,,,,,,
Albania,ALB,education,2009,,,,,,,,,,,,,,,
Albania,ALB,education,2010,,,,,,3.41,,,,,,,,,
Albania,ALB,education,2011,,,,,,3.24,96.85,43.49,12.0,,,,,,
Albania,ALB,education,2012,,,,,,3.31,97.25,45.28,12.9,0.09,,,,,
Albania,ALB,education,2013,,,,,,3.54,,,,,,,,,
Albania,ALB,education,2014,,,,,,3.22,,,,,,,,,
Albania,ALB,education,2015,,,,,,3.44,,,,,,,,,
Albania,ALB,education,2016,,,,,,3.96,,,,,,,,,
Albania,ALB,education,2017,,,,,,3.61,,46.35,16.15,,,,,,
Albania,ALB,education,2018,,,,,,3.15,,,,,,,,,
Albania,ALB,education,2019,,,,,,3.92,,,,,,,,,
Albania,ALB,education,2020,,,,,,3.34,,,,,,,,,
Albania,ALB,education,2021,,,,,,3.09,,,,,,,,,
Albania,ALB,education,2022,,,,,,,98.5,,,,,,,,
Albania,ALB,environment,1960,,,,,,,,,,,,,,,
Albania,ALB,environment,1961,,,,,,,,,,,,,,,
Albania,ALB,environment,1962,,,,,,,,,,,,,,,
Albania,ALB,environment,1963,,,,,,,,,,,,,,,
Albania,ALB,environment,1964,,,,,,,,,,,,,,,
Albania,ALB,environment,1965,,,,,,,,,,,,,,,
Albania,ALB,environment,1966,,,,,,,,,,,,,,,
Albania,ALB,environment,1967,,,,,,,,,,,,,,,
Albania,ALB,environment,1968,,,,,,,,,,,,,,,
Albania,ALB,environment,1969,,,,,,,,,,,,,,,
Albania,ALB,environment,1970,,,,,,,,,,,,,,,
Albania,ALB,environment,1971,,,,,,,,,,,,,,,
Albania,ALB,environment,1972,,,,,,,,,,,,,,,
Albania,ALB,environment,1973,,,,,,,,,,,,,,,
Albania,ALB,environment,1974,,,,,,,,,,,,,,,
Albania,ALB,environment,1975,,,,,,,,,,,,,,,
Albania,ALB,environment,1976,,,,,,,,,,,,,,,
Albania,ALB,environment,1977,,,,,,,,,,,,,,,
Albania,ALB,environment,1978,,,,,,,,,,,,,,,
Albania,ALB,environment,1979,,,,,,,,,,,,,,,
Albania,ALB,environment,1980,,,,,,,,,,,,,,,
Albania,ALB,environment,1981,,,,,,,,,,,,,,,
Albania,ALB,environment,1982,,,,,,,,,,,,,,,
Albania,ALB,environment,1983,,,,,,,,,,,,,,,
Albania,ALB,environment,1984,,,,,,,,,,,,,,,
Albania,ALB,environment,1985,,,,,,,,,,,,,,,
Albania,ALB,environment,1986,,,,,,,,,,,,,,,
Albania,ALB,environment,1987,,,,,,,,,,,,,,,
Albania,ALB,environment,1988,,,,,,,,,,,,,,,
Albania,ALB,environment,1989,,,,,,,,,,,,,,,
Albania,ALB,environment,1990,,,,,,,,,,,1.15,1.84,3.4,5.94,25.5
Albania,ALB,environment,1991,,,,,,,,,,,1.08,1.26,2.7,6.1,32.98
Albania,ALB,environment,1992,,,,,,,,,,,0.63,0.69,2.09,7.81,46.78
Albania,ALB,environment,1993,,,,,,,,,,,0.54,0.64,2.09,8.73,51.12
Albania,ALB,environment,1994,,,,,,,,,,,0.5,0.65,2.36,8.89,51.43
Albania,ALB,environment,1995,,,,,,,,,,,0.41,0.61,2.32,10.72,50.58
Albania,ALB,environment,1996,,,,,,,,,,,0.38,0.62,2.25,10.96,51.6
Albania,ALB,environment,1997,,,,,,,,,,,0.32,0.47,2.02,11.44,55.93
Albania,ALB,environment,1998,,,,,,,,,,,0.36,0.58,2.12,11.29,49.94
Albania,ALB,environment,1999,,,,,,,,,,,0.53,0.96,2.52,9.5,42.63
Albania,ALB,environment,2000,,,,,,,,,,,0.53,1.03,2.64,10.15,41.36
Albania,ALB,environment,2001,,,,,,,,,,,0.49,1.06,2.65,10.78,39.04
Albania,ALB,environment,2002,,,,,,,,,,,0.55,1.23,2.87,10.23,35.82
Albania,ALB,environment,2003,,,,,,,,,,,0.57,1.36,3.02,11.04,33.67
Albania,ALB,environment,2004,,,,,,,,,,,0.57,1.43,3.05,10.6,35.84
Albania,ALB,environment,2005,,,,,,,,,,,0.51,1.36,2.99,11.17,36.77
Albania,ALB,environment,2006,,,,,,,,,,,0.48,1.36,2.98,12.12,31.62
Albania,ALB,environment,2007,,,,,,,,,,,0.47,1.43,3.03,13.46,32.0
Albania,ALB,environment,2008,,,,,,,,,,,0.43,1.43,2.96,13.95,35.79
Albania,ALB,environment,2009,,,,,,,,,,,0.43,1.49,3.01,14.08,37.09
Albania,ALB,environment,2010,,,,,,,,,,,0.46,1.64,3.17,14.74,36.99
Albania,ALB,environment,2011,,,,,,,,,,,0.48,1.77,3.31,14.45,35.84
Albania,ALB,environment,2012,,,,,,,,,,,0.42,1.57,3.13,16.32,39.91
Albania,ALB,environment,2013,,,,,,,,,,,0.44,1.66,3.21,14.18,41.14
Albania,ALB,environment,2014,,,,,,,,,,,0.47,1.8,3.37,14.33,38.56
Albania,ALB,environment,2015,,,,,,,,,,,0.42,1.67,3.27,,38.49
Albania,ALB,environment,2016,,,,,,,,,,,0.39,1.59,3.2,,39.44
Albania,ALB,environment,2017,,,,,,,,,,,0.44,1.88,3.45,,36.94
Albania,ALB,environment,2018,,,,,,,,,,,0.42,1.85,3.37,,37.83
Albania,ALB,environment,2019,,,,,,,,,,,0.39,1.75,3.22,,40.11
Albania,ALB,environment,2020,,,,,,,,,,,0.35,1.54,2.93,,44.58
Albania,ALB,environment,2021,,,,,,,,,,,,,,,
Albania,ALB,environment,2022,,,,,,,,,,,,,,,
Algeria,DZA,economy,1960,2106.0,2403.0,,,1196.0,,,,,,,,,,
Algeria,DZA,economy,1961,1788.0,2115.0,,,884.0,,,,,,,,,,
Algeria,DZA,economy,1962,1414.0,1565.0,,,657.0,,,,,,,,,,
Algeria,DZA,economy,1963,1869.0,1899.0,,,1047.0,,,,,,,,,,
Algeria,DZA,economy,1964,1944.0,1935.0,,,1092.0,,,,,,,,,,
